Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass
0," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_max0,,ivy_return_code(127)+,/results/temp/4/quic_client_test_max0.iev,0.0,0.0
1," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_max0,,ivy_return_code(127)+,/results/temp/5/quic_client_test_max0.iev,0.0,0.0
2," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_max0,,ivy_return_code(127)+,/results/temp/55/quic_client_test_max0.iev,0.0,0.0
3," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_max0,,ivy_return_code(127)+,/results/temp/56/quic_client_test_max0.iev,0.0,0.0
4," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_error0,,server_return_code(134)+timeout,/results/temp/208/quic_client_test_tp_error0.iev,0.0,0.0
5," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_error0,,server_return_code(134)+timeout,/results/temp/209/quic_client_test_tp_error0.iev,0.0,0.0
6," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_error0,,server_return_code(134)+timeout,/results/temp/259/quic_client_test_tp_error0.iev,0.0,0.0
7," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_error0,,server_return_code(134)+timeout,/results/temp/260/quic_client_test_tp_error0.iev,0.0,0.0
8," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_double_tp_error0,,server_return_code(134)+timeout,/results/temp/412/quic_client_test_double_tp_error0.iev,0.0,0.0
9," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_double_tp_error0,,server_return_code(134)+timeout,/results/temp/413/quic_client_test_double_tp_error0.iev,0.0,0.0
10," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_double_tp_error0,,server_return_code(134)+timeout,/results/temp/463/quic_client_test_double_tp_error0.iev,0.0,0.0
11," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_double_tp_error0,,server_return_code(134)+timeout,/results/temp/464/quic_client_test_double_tp_error0.iev,0.0,0.0
12," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_acticoid_error0,,server_return_code(134)+timeout,/results/temp/514/quic_client_test_tp_acticoid_error0.iev,0.0,0.0
13," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_acticoid_error0,,server_return_code(134)+timeout,/results/temp/515/quic_client_test_tp_acticoid_error0.iev,0.0,0.0
14," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_acticoid_error0,,server_return_code(134)+timeout,/results/temp/565/quic_client_test_tp_acticoid_error0.iev,0.0,0.0
15," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_acticoid_error0,,server_return_code(134)+timeout,/results/temp/566/quic_client_test_tp_acticoid_error0.iev,0.0,0.0
16," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_limit_acticoid_error0,,server_return_code(134)+timeout,/results/temp/616/quic_client_test_tp_limit_acticoid_error0.iev,0.0,0.0
17," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_limit_acticoid_error0,,server_return_code(134)+timeout,/results/temp/617/quic_client_test_tp_limit_acticoid_error0.iev,0.0,0.0
18," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_limit_acticoid_error0,,server_return_code(134)+timeout,/results/temp/667/quic_client_test_tp_limit_acticoid_error0.iev,0.0,0.0
19," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_limit_acticoid_error0,,server_return_code(134)+timeout,/results/temp/668/quic_client_test_tp_limit_acticoid_error0.iev,0.0,0.0
20," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_blocked_streams_maxstream_error0,,server_return_code(134)+timeout,/results/temp/718/quic_client_test_blocked_streams_maxstream_error0.iev,0.0,0.0
21," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_blocked_streams_maxstream_error0,,server_return_code(134)+timeout,/results/temp/719/quic_client_test_blocked_streams_maxstream_error0.iev,0.0,0.0
22," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_blocked_streams_maxstream_error0,,server_return_code(134)+timeout,/results/temp/769/quic_client_test_blocked_streams_maxstream_error0.iev,0.0,0.0
23," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_blocked_streams_maxstream_error0,,server_return_code(134)+timeout,/results/temp/770/quic_client_test_blocked_streams_maxstream_error0.iev,0.0,0.0
24," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_newcoid_zero_error0,,server_return_code(134)+timeout,/results/temp/820/quic_client_test_newcoid_zero_error0.iev,0.0,0.0
25," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_newcoid_zero_error0,,server_return_code(134)+timeout,/results/temp/821/quic_client_test_newcoid_zero_error0.iev,0.0,0.0
26," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_newcoid_zero_error0,,server_return_code(134)+timeout,/results/temp/871/quic_client_test_newcoid_zero_error0.iev,0.0,0.0
27," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_newcoid_zero_error0,,server_return_code(134)+timeout,/results/temp/872/quic_client_test_newcoid_zero_error0.iev,0.0,0.0
28," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_accept_maxdata0,,ivy_return_code(127)+,/results/temp/922/quic_client_test_accept_maxdata0.iev,0.0,0.0
29," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_accept_maxdata0,,ivy_return_code(127)+,/results/temp/923/quic_client_test_accept_maxdata0.iev,0.0,0.0
30," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_accept_maxdata0,,ivy_return_code(127)+,/results/temp/973/quic_client_test_accept_maxdata0.iev,0.0,0.0
31," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_accept_maxdata0,,ivy_return_code(127)+,/results/temp/974/quic_client_test_accept_maxdata0.iev,0.0,0.0
32," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_prefadd_error0,,server_return_code(134)+timeout,/results/temp/1024/quic_client_test_tp_prefadd_error0.iev,0.0,0.0
33," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_prefadd_error0,,server_return_code(134)+timeout,/results/temp/1025/quic_client_test_tp_prefadd_error0.iev,0.0,0.0
34," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_prefadd_error0,,server_return_code(134)+timeout,/results/temp/1075/quic_client_test_tp_prefadd_error0.iev,0.0,0.0
35," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_prefadd_error0,,server_return_code(134)+timeout,/results/temp/1076/quic_client_test_tp_prefadd_error0.iev,0.0,0.0
36," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_no_odci0,,server_return_code(134)+timeout,/results/temp/1126/quic_client_test_no_odci0.iev,0.0,0.0
37," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_no_odci0,,server_return_code(134)+timeout,/results/temp/1127/quic_client_test_no_odci0.iev,0.0,0.0
38," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_no_odci0,,server_return_code(134)+timeout,/results/temp/1177/quic_client_test_no_odci0.iev,0.0,0.0
39," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_no_odci0,,server_return_code(134)+timeout,/results/temp/1178/quic_client_test_no_odci0.iev,0.0,0.0
40," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_ext_min_ack_delay0,,server_return_code(134)+timeout,/results/temp/1228/quic_client_test_ext_min_ack_delay0.iev,0.0,0.0
41," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_ext_min_ack_delay0,,server_return_code(134)+timeout,/results/temp/1229/quic_client_test_ext_min_ack_delay0.iev,0.0,0.0
42," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_ext_min_ack_delay0,,server_return_code(134)+timeout,/results/temp/1279/quic_client_test_ext_min_ack_delay0.iev,0.0,0.0
43," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_ext_min_ack_delay0,,server_return_code(134)+timeout,/results/temp/1280/quic_client_test_ext_min_ack_delay0.iev,0.0,0.0
44," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_max0,,ivy_return_code(127)+,/results/temp/6/quic_client_test_max0.iev,0.0,0.0
45," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_max0,,ivy_return_code(127)+,/results/temp/57/quic_client_test_max0.iev,0.0,0.0
46," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_error0,,server_return_code(134)+timeout,/results/temp/210/quic_client_test_tp_error0.iev,0.0,0.0
47," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_tp_error0,,server_return_code(134)+timeout,/results/temp/261/quic_client_test_tp_error0.iev,0.0,0.0
48," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_double_tp_error0,,server_return_code(134)+timeout,/results/temp/414/quic_client_test_double_tp_error0.iev,0.0,0.0
49," ./echo -mode=client -host=127.0.0.1 -port=4443 -v=10 -stop_logging_if_full_disk
",client,quic_client_test_double_tp_error0,,server_return_code(134)+timeout,/results/temp/465/quic_client_test_double_tp_error0.iev,0.0,0.0
