Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass
0," ./server -d /QUIC-Ivy/doc/examples/quic/ -c /QUIC-Ivy/doc/examples/quic/leaf_cert.pem -k /QUIC-Ivy/doc/examples/quic/leaf_cert.key -p 4443 -t 3600 -v 5 -q /results/quant_qlog -l /results/temp/quant_key.log
",server,quic_server_test_tp_error0,,server_return_code(1)+timeout,/results/temp/48/quic_server_test_tp_error0.iev,0.0,0.0
1," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_tp_error0,,,/results/temp/49/quic_server_test_tp_error0.iev,0.0,1.0
2," ./picoquicdemo -l - -D -L -q /results/picoquic_qlog
",server,quic_server_test_double_tp_error0,,,/results/temp/99/quic_server_test_double_tp_error0.iev,0.0,1.0
3," ./server -c /QUIC-Ivy/doc/examples/quic/leaf_cert.pem -k /QUIC-Ivy/doc/examples/quic/leaf_cert.key -p 4443 127.0.0.1
",server,quic_server_test_double_tp_error0,,,/results/temp/100/quic_server_test_double_tp_error0.iev,0.0,1.0
4," ./echo -mode=server -host=127.0.0.1 -port=4443
",server,quic_server_test_stream0,,,/results/temp/2/quic_server_test_stream0.iev,0.0,1.0
5," ./echo -mode=server -host=127.0.0.1 -port=4443
",server,quic_server_test_tp_error0,,,/results/temp/50/quic_server_test_tp_error0.iev,0.0,1.0
6," python3 examples/http3_server.py --certificate /quic/aioquic/tests/ssl_cert.pem --private-key /quic/aioquic/tests/ssl_key.pem  -v --host 127.0.0.1 --port 4443 -l /results/temp/aioquic_key.log""
",server,quic_server_test_double_tp_error0,,"ivy_return_code(1)+"""")",/results/temp/101/quic_server_test_double_tp_error0.iev,0.0,0.0
7," ./picoquicdemo -l - -D -L -q /results/picoquic_qlog
",server,quic_server_test_stream0,,,/results/temp/3/quic_server_test_stream0.iev,0.0,1.0
8," cargo run --manifest-path=tools/apps/Cargo.toml --bin quiche-server --       --cert tools/apps/src/bin/cert.crt       --key tools/apps/src/bin/cert.key --no-retry --dump-packets /results/dump.txt --listen 127.0.0.1:4443
",server,quic_server_test_double_tp_error0,,timeout+sending id: client_alt addr: 2130706433 port: 4443,/results/temp/102/quic_server_test_double_tp_error0.iev,0.0,0.0
9," ./picoquicdemo -l - -D -L -q /results/picoquic_qlog
",server,quic_server_test_tp_error0,,"ivy_return_code(1)+"""")",/results/temp/51/quic_server_test_tp_error0.iev,0.0,0.0
10," ./server -c /QUIC-Ivy/doc/examples/quic/leaf_cert.pem -k /QUIC-Ivy/doc/examples/quic/leaf_cert.key -p 4443 127.0.0.1
",server,quic_server_test_stream0,,"ivy_return_code(1)+"""")",/results/temp/4/quic_server_test_stream0.iev,0.0,0.0
11," ./server -c /QUIC-Ivy/doc/examples/quic/leaf_cert.pem -k /QUIC-Ivy/doc/examples/quic/leaf_cert.key -p 4443 127.0.0.1
",server,quic_server_test_tp_error0,,,/results/temp/52/quic_server_test_tp_error0.iev,0.0,1.0
12," ./http_server -Q hq-29 -s 127.0.0.1:4443 -l event=debug,engine=debug -o version=FF00001D -G /results/temp/
",server,quic_server_test_double_tp_error0,,"ivy_return_code(1)+"""")",/results/temp/103/quic_server_test_double_tp_error0.iev,0.0,0.0
13," python3 examples/http3_server.py --certificate /quic/aioquic/tests/ssl_cert.pem --private-key /quic/aioquic/tests/ssl_key.pem  -v --host 127.0.0.1 --port 4443 -l /results/temp/aioquic_key.log""
",server,quic_server_test_stream0,,,/results/temp/5/quic_server_test_stream0.iev,0.0,1.0
14," python3 examples/http3_server.py --certificate /quic/aioquic/tests/ssl_cert.pem --private-key /quic/aioquic/tests/ssl_key.pem  -v --host 127.0.0.1 --port 4443 -l /results/temp/aioquic_key.log""
",server,quic_server_test_tp_error0,,"ivy_return_code(1)+"""")",/results/temp/53/quic_server_test_tp_error0.iev,0.0,0.0
15," ./server -d /QUIC-Ivy/doc/examples/quic/ -c /QUIC-Ivy/doc/examples/quic/leaf_cert.pem -k /QUIC-Ivy/doc/examples/quic/leaf_cert.key -p 4443 -t 3600 -v 5 -q /results/quant_qlog -l /results/temp/quant_key.log
",server,quic_server_test_tp_limit_acticoid_error0,,"ivy_return_code(1)+"""")",/results/temp/104/quic_server_test_tp_limit_acticoid_error0.iev,0.0,0.0
16," ./server -d /QUIC-Ivy/doc/examples/quic/ -c /QUIC-Ivy/doc/examples/quic/leaf_cert.pem -k /QUIC-Ivy/doc/examples/quic/leaf_cert.key -p 4443 -t 3600 -v 5 -q /results/quant_qlog -l /results/temp/quant_key.log
",server,quic_server_test_stream0,,"ivy_return_code(1)+"""")",/results/temp/0/quic_server_test_stream0.iev,0.0,0.0
