Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass
0," ./server -p 4443 127.0.0.1
",server,quic_server_test_ext_min_ack_delay0,,,/results/temp/3399/quic_server_test_ext_min_ack_delay0.iev,0.0,1.0
1," ./server -p 4443 127.0.0.1
",server,quic_server_test_ext_min_ack_delay0,,,/results/temp/3313/quic_server_test_ext_min_ack_delay0.iev,0.0,1.0
2," ./server -p 4443 127.0.0.1
",server,quic_server_test_ext_min_ack_delay0,,,/results/temp/3314/quic_server_test_ext_min_ack_delay0.iev,0.0,1.0
3," ./server -p 4443 127.0.0.1
",server,quic_server_test_ext_min_ack_delay0,,,/results/temp/3336/quic_server_test_ext_min_ack_delay0.iev,0.0,1.0
4," ./server -p 4443 127.0.0.1
",server,quic_server_test_ext_min_ack_delay0,,,/results/temp/3356/quic_server_test_ext_min_ack_delay0.iev,0.0,1.0
5," ./server -p 4443 127.0.0.1
",server,quic_server_test_ext_min_ack_delay0,,,/results/temp/3376/quic_server_test_ext_min_ack_delay0.iev,0.0,1.0
6," ./server -p 4443 127.0.0.1
",server,quic_server_test_ext_min_ack_delay0,,,/results/temp/3398/quic_server_test_ext_min_ack_delay0.iev,0.0,1.0
7," ./server -p 4443 127.0.0.1
",server,quic_server_test_newcoid_zero_error0,,"ivy_return_code(1)+"""")",/results/temp/2183/quic_server_test_newcoid_zero_error0.iev,0.0,0.0
8," ./server -p 4443 127.0.0.1
",server,quic_server_test_double_tp_error0,,,/results/temp/2183/quic_server_test_double_tp_error0.iev,0.0,1.0
9," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_handshake_done_error0,,,/results/temp/2210/quic_server_test_handshake_done_error0.iev,0.0,1.0
10," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_accept_maxdata0,,,/results/temp/2210/quic_server_test_accept_maxdata0.iev,0.0,1.0
11," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_handshake_done_error0,,,/results/temp/2211/quic_server_test_handshake_done_error0.iev,0.0,1.0
12," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_accept_maxdata0,,,/results/temp/2211/quic_server_test_accept_maxdata0.iev,0.0,1.0
13," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_handshake_done_error0,,,/results/temp/2242/quic_server_test_handshake_done_error0.iev,0.0,1.0
14," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_accept_maxdata0,,,/results/temp/2242/quic_server_test_accept_maxdata0.iev,0.0,1.0
15," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_handshake_done_error0,,,/results/temp/2243/quic_server_test_handshake_done_error0.iev,0.0,1.0
16," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_accept_maxdata0,,,/results/temp/2243/quic_server_test_accept_maxdata0.iev,0.0,1.0
17," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_handshake_done_error0,,,/results/temp/2275/quic_server_test_handshake_done_error0.iev,0.0,1.0
18," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_accept_maxdata0,,,/results/temp/2275/quic_server_test_accept_maxdata0.iev,0.0,1.0
19," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_handshake_done_error0,,,/results/temp/2276/quic_server_test_handshake_done_error0.iev,0.0,1.0
20," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_accept_maxdata0,,,/results/temp/2276/quic_server_test_accept_maxdata0.iev,0.0,1.0
21," ./server -p 4443 127.0.0.1
",server,quic_server_test_handshake_done_error0,,"ivy_return_code(1)+"""")",/results/temp/2307/quic_server_test_handshake_done_error0.iev,0.0,0.0
22," ./server -p 4443 127.0.0.1
",server,quic_server_test_accept_maxdata0,,"ivy_return_code(1)+"""")",/results/temp/2307/quic_server_test_accept_maxdata0.iev,0.0,0.0
23," ./server -p 4443 127.0.0.1
",server,quic_server_test_handshake_done_error0,,"ivy_return_code(1)+"""")",/results/temp/2308/quic_server_test_handshake_done_error0.iev,0.0,0.0
24," ./server -p 4443 127.0.0.1
",server,quic_server_test_accept_maxdata0,,,/results/temp/2308/quic_server_test_accept_maxdata0.iev,0.0,1.0
25," ./server -p 4443 127.0.0.1
",server,quic_server_test_newcoid_zero_error0,,server_return_code(1)+timeout,/results/temp/2133/quic_server_test_newcoid_zero_error0.iev,0.0,0.0
26," ./server -p 4443 127.0.0.1
",server,quic_server_test_double_tp_error0,,,/results/temp/2133/quic_server_test_double_tp_error0.iev,0.0,1.0
27," ./server -p 4443 127.0.0.1
",server,quic_server_test_handshake_done_error0,,"ivy_return_code(1)+"""")",/results/temp/2340/quic_server_test_handshake_done_error0.iev,0.0,0.0
28," ./server -p 4443 127.0.0.1
",server,quic_server_test_accept_maxdata0,,,/results/temp/2340/quic_server_test_accept_maxdata0.iev,0.0,1.0
