time, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, cc_state, cc_param, bw_max, transit, 
0, 1, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 250000, 0, 1756,
0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 250000, 0, 3196,
250000, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 1, 0, 0, 0, 0, 0, 250000, 0, 3196,
250000, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 2, 0, 0, 0, 0, 0, 250000, 0, 3196,
250000, 3, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 3, 0, 0, 0, 0, 0, 250000, 0, 3196,
500000, 3, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 4, 0, 0, 0, 0, 0, 250000, 0, 3199,
500000, 3, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 5, 0, 0, 0, 0, 0, 250000, 0, 3199,
500000, 4, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 5, 0, 0, 0, 0, 0, 250000, 0, 3159,
609933, 5, -1, 0, 0, 15360, 0, 609933, 609933, 609933, 0, 0, 1252, 1, 5, 1, 0, 0, 0, 0, 250000, 0, 3033,
615769, 5, -1, 0, 0, 15360, 0, 609933, 609933, 609933, 0, 0, 1252, 1, 5, 2, 0, 0, 0, 0, 250000, 0, 1959,
615769, 6, -1, 0, 0, 15360, 0, 609933, 609933, 609933, 0, 0, 1252, 1, 5, 2, 0, 0, 0, 0, 250000, 0, 2014,
