Statement,In the code,Done,Explanation,,Note that the line indicated could have change with the modifications we have done,,,,, https://tools.ietf.org/html/draft-ietf-quic-transport-29
Stream Types and Identifiers,,,,,Legend:,done by McM,done by us,impossible ?,partially done,not done
"Streams can be unidirectional or bidirectional.  Unidirectional
   streams carry data in one direction: from the initiator of the stream
   to its peer.  Bidirectional streams allow for data to be sent in both
   directions.

   Streams are identified within a connection by a numeric value,
   referred to as the stream ID.  A stream ID is a 62-bit integer (0 to
   2^62-1) that is unique for all streams on a connection.  Stream IDs
   are encoded as variable-length integers; see Section 16.  A QUIC
   endpoint MUST NOT reuse a stream ID within a connection.","Line 109-113. A chaque fois qu'un numéro a été utilisé,",FALSE,,,,,,,,
Sending and Receiving Data,,,,,,,,,,
"STREAM frames (Section 19.8) encapsulate data sent by an application.
   An endpoint uses the Stream ID and Offset fields in STREAM frames to
   place data in order.

   Endpoints MUST be able to deliver stream data to an application as an
   ordered byte-stream.  Delivering an ordered byte-stream requires that
   an endpoint buffer any data that is received out of order, up to the
   advertised flow control limit","Voir code quic-frame. Stream ID : quic frame line 57. Offset : quic frame 58. Done in quic frame, Impossible à test ? On a pas acces à l'état de PICOQUIC côté server pour faire ca.",FALSE,,,,,,,,
"  An endpoint could receive data for a stream at the same stream offset
   multiple times.  Data that has already been received can be
   discarded.  The data at a given offset MUST NOT change if it is sent
   multiple times; an endpoint MAY treat receipt of different data at
   the same offset within a stream as a connection error of type
   PROTOCOL_VIOLATION.",quic frame same_stream_offset : check if the frame with same stream offset has the same  unparsed payload. Need to do test to see if it is well tested,FALSE,,,,,,,,
"   An endpoint MUST NOT send data on any stream without ensuring that it
   is within the flow control limits set by its peer.  Flow control is
   described in detail in Section 4.","Already implemented by McMillan, quic_frame line 600",FALSE,,,,,,,,
2.4.  Required Operations on Streams,,,,,,,,,,
"   There are certain operations which an application MUST be able to
   perform when interacting with QUIC streams.",Not done. Should test it with HTTP ?  ,FALSE,"Operations needed :    On the sending part of a stream, application protocols need to be
   able to:

   *  write data, understanding when stream flow control credit
      (Section 4.1) has successfully been reserved to send the written
      data;

   *  end the stream (clean termination), resulting in a STREAM frame
      (Section 19.8) with the FIN bit set; and

   *  reset the stream (abrupt termination), resulting in a RESET_STREAM
      frame (Section 19.4), if the stream was not already in a terminal
      state.

   On the receiving part of a stream, application protocols need to be
   able to:

   *  read data; and

   *  abort reading of the stream and request closure, possibly
      resulting in a STOP_SENDING frame (Section 19.5).

   Applications also need to be informed of state changes on streams,
   including when the peer has opened or reset a stream, when a peer
   aborts reading on a stream, when new data is available, and when data
   can or cannot be written to the stream due to flow control.",,,,,,,
"This document does not
   specify an API, but any implementation of this version of QUIC MUST
   expose the ability to perform the operations described in this
   section on a QUIC stream.",,FALSE,,,,,,,,
3.  Stream States,,,,,,,,,,
"  An endpoint MUST open streams of the same type in increasing order of
   stream ID.","In progress : check stream_seen(scid,f.id) if in ordered order. #14->13",FALSE,"To
Validate",,,,,,,
3.2.  Receiving Stream States,,,,,,,,,,
"   Before a stream is created, all streams of the same type with lower-
   numbered stream IDs MUST be created.  This ensures that the creation
   order for streams is consistent on both endpoints.",In progress with  #12 : stream_seen in ordered order. ,FALSE,"To
Validate",,,,,,,
3.3.  Permitted Frame Types,,,,,,,,,,
"  The sender of a stream sends just three frame types that affect the
   state of a stream at either sender or receiver: STREAM
   (Section 19.8), STREAM_DATA_BLOCKED (Section 19.13), and RESET_STREAM
   (Section 19.4).

   A sender MUST NOT send any of these frames from a terminal state
   (""Data Recvd"" or ""Reset Recvd"").",Modeliser les state explicitement avec des relations pour ensuite,FALSE,,,,,,,,
"A sender MUST NOT send STREAM or
   STREAM_DATA_BLOCKED after sending a RESET_STREAM; that is, in the
   terminal states and in the ""Reset Sent"" state.  A receiver could
   receive any of these three frames in any state, due to the
   possibility of delayed delivery of packets carrying them.",Même chose que #16,FALSE,,,,,,,,
3.5.  Solicited State Transitions,,,,,,,,,,
"   A STOP_SENDING frame requests that the receiving endpoint send a
   RESET_STREAM frame.  An endpoint that receives a STOP_SENDING frame
   MUST send a RESET_STREAM frame if the stream is in the Ready or Send
   state.  If the stream is in the Data Sent state and any outstanding
   data is declared lost, an endpoint SHOULD send a RESET_STREAM frame
   in lieu of a retransmission.","Can a previously reset stream be reset ? 
Not done yet. New relation and check if next upcoming packet is a reset_stream_frame.
 Another observation : on localhost ok, no packet lost but on real network ? ",FALSE,,,,,,,,
"   If the STOP_SENDING frame is received on a stream that is already in
   the ""Data Sent"" state, an endpoint that wishes to cease
   retransmission of previously-sent STREAM frames on that stream MUST
   first send a RESET_STREAM frame.",Retrnasmissions not represented ,TRUE,,,,,,,,
4.1.  Data Flow Control,,,,,,,,,,
"   A receiver MUST close the connection with a FLOW_CONTROL_ERROR error
   (Section 11) if the sender violates the advertised connection or
   stream data limits.",Implemente errors and a spefic test,FALSE,,,,,,,,
"  A sender MUST ignore any MAX_STREAM_DATA or MAX_DATA frames that do
   not increase flow control limits.",How to check if it is really ignored ? Just check if the flow control value is not modified ? If yes -> easy to do ,FALSE,,,,,,,,
4.2.  Flow Credit Increments,,,,,,,,,,
"   A blocked sender is not required to send STREAM_DATA_BLOCKED or
   DATA_BLOCKED frames.  Therefore, a receiver MUST NOT wait for a
   STREAM_DATA_BLOCKED or DATA_BLOCKED frame before sending a
   MAX_STREAM_DATA or MAX_DATA frame; doing so could result in the
   sender being blocked for the rest of the connection.  Even if the
   sender sends these frames, waiting for them will result in the sender
   being blocked for at least an entire round trip.",Impossible à test ? ,FALSE,,,,,,,,
4.3.  Handling Stream Cancellation,,,,,,,,,,
"   On receipt of a RESET_STREAM frame, an endpoint will tear down state
   for the matching stream and ignore further data arriving on that
   stream.  Without the offset included in RESET_STREAM, the two
   endpoints could disagree on the number of bytes that count towards
   connection flow control. 
  To remedy this issue, a RESET_STREAM frame (Section 19.4) includes
   the final size of data sent on the stream.  On receiving a
   RESET_STREAM frame, a receiver definitively knows how many bytes were
   sent on that stream before the RESET_STREAM frame, and the receiver
   MUST use the final size of the stream to account for all bytes sent
   on the stream in its connection level flow controller.",quic_frame,FALSE,,,,,,,,
"  RESET_STREAM terminates one direction of a stream abruptly.  For a
   bidirectional stream, RESET_STREAM has no effect on data flow in the
   opposite direction.  Both endpoints MUST maintain flow control state
   for the stream in the unterminated direction until that direction
   enters a terminal state, or until one of the endpoints sends
   CONNECTION_CLOSE.",,FALSE,,,,,,,,
4.4.  Stream Final Size,,,,,,,,,,
"   An endpoint will know the final size for a stream when the receiving
   part of the stream enters the ""Size Known"" or ""Reset Recvd"" state
   (Section 3).

   An endpoint MUST NOT send data on a stream at or beyond the final
   size.",,FALSE,,,,,,,,
4.5.  Controlling Concurrency,,,,,,,,,,
"   If a max_streams transport parameter or MAX_STREAMS frame is received
   with a value greater than 2^60, this would allow a maximum stream ID
   that cannot be expressed as a variable-length integer; see
   Section 16.  If either is received, the connection MUST be closed
   immediately with a connection error of type STREAM_LIMIT_ERROR; see
   Section 10.3.","We check if the connection is closed 
but the errors are not implemented",TRUE,,,,,,,,
"   Endpoints MUST NOT exceed the limit set by their peer.  An endpoint
   that receives a frame with a stream ID exceeding the limit it has
   sent MUST treat this as a connection error of type STREAM_LIMIT_ERROR
   (Section 11).",,TRUE,,,,,,,,
"   Once a receiver advertises a stream limit using the MAX_STREAMS
   frame, advertising a smaller limit has no effect.  A receiver MUST
   ignore any MAX_STREAMS frame that does not increase the stream limit.",Test for that,TRUE,,,,,,,,
"  An endpoint that is unable to open a new stream due to the peer's
   limits SHOULD send a STREAMS_BLOCKED frame (Section 19.14).  This
   signal is considered useful for debugging.  An endpoint MUST NOT wait
   to receive this signal before advertising additional credit, since
   doing so will mean that the peer will be blocked for at least an
   entire round trip, and potentially for longer if the peer chooses to
   not send STREAMS_BLOCKED frames.",,FALSE,,,,,,,,
5.1.  Connection ID,,,,,,,,,,
