Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass
0," ./server -p 4443 127.0.0.1
",server,quic_server_test_stream0,,,/results/temp/36/quic_server_test_stream0.iev,0.0,1.0
1," cargo run  -vv --example client https://localhost:4443/index.html --keylog
",client,quic_client_test_max0,,server_return_code(1)+ivy_return_code(1),/results/temp/36/quic_client_test_max0.iev,0.0,0.0
2," ./server -p 4443 127.0.0.1
",server,quic_server_test_stream0,,,/results/temp/37/quic_server_test_stream0.iev,0.0,1.0
3," cargo run  -vv --example client https://localhost:4443/index.html --keylog
",client,quic_client_test_max0,,server_return_code(1)+ivy_return_code(1),/results/temp/37/quic_client_test_max0.iev,0.0,0.0
4," ./server -p 4443 127.0.0.1
",server,quic_server_test_stream0,,,/results/temp/87/quic_server_test_stream0.iev,0.0,1.0
5," cargo run  -vv --example client https://localhost:4443/index.html --keylog
",client,quic_client_test_max0,,server_return_code(1)+ivy_return_code(1),/results/temp/87/quic_client_test_max0.iev,0.0,0.0
6," ./server -p 4443 127.0.0.1
",server,quic_server_test_stream0,,,/results/temp/88/quic_server_test_stream0.iev,0.0,1.0
7," cargo run  -vv --example client https://localhost:4443/index.html --keylog
",client,quic_client_test_max0,,server_return_code(1)+ivy_return_code(1),/results/temp/88/quic_client_test_max0.iev,0.0,0.0
8," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_stream0,,,/results/temp/129/quic_server_test_stream0.iev,0.0,1.0
9," ./picoquicdemo -l - -D -L -v ff00001d -a hq-29 localhost 4443
",client,quic_client_test_max0,,,/results/temp/129/quic_client_test_max0.iev,0.0,1.0
10," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_stream0,,,/results/temp/130/quic_server_test_stream0.iev,0.0,1.0
11," ./picoquicdemo -l - -D -L -v ff00001d -a hq-29 localhost 4443
",client,quic_client_test_max0,,"ivy_return_code(1)+"""")",/results/temp/130/quic_client_test_max0.iev,0.0,0.0
12," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_stream0,,,/results/temp/180/quic_server_test_stream0.iev,0.0,1.0
13," ./picoquicdemo -l - -D -L -v ff00001d -a hq-29 localhost 4443
",client,quic_client_test_max0,,"ivy_return_code(1)+"""")",/results/temp/180/quic_client_test_max0.iev,0.0,0.0
14," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_stream0,,,/results/temp/181/quic_server_test_stream0.iev,0.0,1.0
15," ./picoquicdemo -l - -D -L -v ff00001d -a hq-29 localhost 4443
",client,quic_client_test_max0,,"ivy_return_code(1)+"""")",/results/temp/181/quic_client_test_max0.iev,0.0,0.0
16," ./server -p 4443 127.0.0.1
",server,quic_server_test_unkown0,,"ivy_return_code(1)+"""")",/results/temp/231/quic_server_test_unkown0.iev,0.0,0.0
17," ./client -G 5000000 -X /logs.txt -P -v 127.0.0.1 4443
",client,quic_client_test_max0,,,/results/temp/231/quic_client_test_max0.iev,0.0,1.0
18," ./server -p 4443 127.0.0.1
",server,quic_server_test_unkown0,,"ivy_return_code(1)+"""")",/results/temp/232/quic_server_test_unkown0.iev,0.0,0.0
19," ./client -G 5000000 -X /logs.txt -P -v 127.0.0.1 4443
",client,quic_client_test_max0,,,/results/temp/232/quic_client_test_max0.iev,0.0,1.0
20," ./server -p 4443 127.0.0.1
",server,quic_server_test_unkown0,,"ivy_return_code(1)+"""")",/results/temp/282/quic_server_test_unkown0.iev,0.0,0.0
21," ./client -G 5000000 -X /logs.txt -P -v 127.0.0.1 4443
",client,quic_client_test_max0,,,/results/temp/282/quic_client_test_max0.iev,0.0,1.0
22," ./server -p 4443 127.0.0.1
",server,quic_server_test_unkown0,,"ivy_return_code(1)+"""")",/results/temp/283/quic_server_test_unkown0.iev,0.0,0.0
23," ./client -G 5000000 -X /logs.txt -P -v 127.0.0.1 4443
",client,quic_client_test_max0,,server_return_code(1)+ivy_return_code(1),/results/temp/283/quic_client_test_max0.iev,0.0,0.0
24," cargo run --example server /QUIC-Ivy/doc/examples/quic/ --listen 127.0.0.1:4443 --keylog
",server,quic_server_test_unkown0,,,/results/temp/333/quic_server_test_unkown0.iev,0.0,1.0
25," python3 examples/http3_client.py -v  -i --insecure --legacy-http https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html
",client,quic_client_test_max0,,,/results/temp/333/quic_client_test_max0.iev,0.0,1.0
